name,blurb,location,url,tags,status
4160 Tuesdays â€“ Perfume Making with Sarah McCartney,"In a scent-laced studio in Acton, the perfumer Sarah McCartney invites you into her fragrant world. Blend citrus with memory, amber with desire, and leave with a vial stitched from story. This is scent as self-expression, distilled and stirred â€” an olfactory adventure for the curious nose.",Acton,https://www.4160tuesdays.com,,Active
58 and Co â€” Gin School Experience,"In a copper-lit haven in Haggerston, the botanicals wait. Juniper, cardamom, citrus peel â€” each a memory, each a promise. At 58 and Co, you craft not just gin, but story: choosing your blend, distilling on gleaming stills, sealing your own bottle with wax and wonder. There's laughter in the air and cocktail on the tongue â€” a heady blend of chemistry, history, and the quiet art of becoming spirit.",Haggerston (E8),https://58gin.com/pages/gin-school-experience,,Active
5Rhythms 'FIVE London' Workshop,"Three days. Five rhythms. One unfolding wave. In the sacred space of St Lukeâ€™s, dancers ride the arc of flow and stillness, chaos and grace. Itâ€™s less a class, more a rite â€” where movement becomes mirror and the body remembers what it means to be free.","St Lukeâ€™s Church, Hillmarton Road, London N7 9RE",https://www.5rhythms.com/workshops/FIVELondon-295203,,Active
5Rhythms Dance – We Dance with Nikki Ashley,"Movement here is map and mystery. On the worn wooden floor of St Peter’s Church Hall, bodies unspool into rhythm: flowing, staccato, chaos, lyrical, stillness. You’re not learning to dance — you’re remembering how to listen, how to move through the storm and into the centre of your own breath.",Balham,https://bookwhen.com/unboundmovingarts#focus=ev-s4lo-20251217191000,,Active
Ace Cafe London,"The world's most famous motor cafÃ©, where petrol-fumed heritage meets rock 'n' roll nights, ride-outs, and rebellious spirit since 1938.",North West London,https://london.acecafe.com/,,Active
ActOne Cinema,"A community-run cinema in a former library, co-run by Rio Cinema, championing independent films and filmmaker events.",Acton,https://actonecinema.co.uk,,Active
After-Work Foraging Sessions â€“ Charlotte Gordon Urban Forager,"Beneath Kingâ€™s Crossâ€™s glass towers, The Story Garden blooms in quiet rebellion. Charlotte Gordon guides dusk-hour wanderers through herbs, edible weeds, and fragrant finds. These twilight sessions are more than botanical lessons â€” theyâ€™re a return to knowing what grows beneath your feet, even in the heart of the city.","The Story Garden, Kingâ€™s Cross",https://www.charlottegordonforager.com/events,,Active
Akila Pole Studio,"In Brixtonâ€™s warm-lit studio, poles become partners in flight and strength. Akila Pole Studio welcomes every body â€” each spin a reclaiming, each climb a celebration. This isnâ€™t performance for others, but presence for the self. Here, sensuality is carved in sweat and joy, held in community arms.",Brixton,https://www.akilapolestudio.com/,,Active
Arcadia Games,"By day, a coworking space for laptop warriors. By night, a realm of hosted campaigns and skilled Games Masters. Arcadia — founded and run by women — offers sound-proofed rooms, themed tables, and a Safety Charter that centers neurodiversity and consent. Here, the dice are kind and the storytelling fierce. A haven for London's tabletop faithful, where D&D is sacrament and community is code.",The Strand,https://www.arcadiagames.co.uk/,,Active
Art Play London â€“ Paper-Making Craft Class,"At Art Play London, torn pages and yesterdayâ€™s stories find new life. In studios scented with dried lavender and pulp, hands plunge into petals and pigments. Paper is born anew â€” rough-edged, flower-flecked, tender as memory. It's recycling as ritual, the alchemy of old into beauty again.",Shoreditch,https://artplaylondon.com,,Active
