venue_id,venue_name,issue_type,severity,field,current_value,suggested_fix,notes
0,4160 Tuesdays â€“ Perfume Making with Sarah McCartney,Location,CRITICAL,location,"Studio in Acton, West London",Studio in Acton,Contains borough/area format
0,4160 Tuesdays â€“ Perfume Making with Sarah McCartney,Location,CRITICAL,location,"Studio in Acton, West London","Studio in Acton, West London",'Studio in Acton' not in approved neighborhoods list
2,5Rhythms 'FIVE London' Workshop,Location,CRITICAL,location,"St Lukeâ€™s Church, Hillmarton Road, London N7 9RE","St Lukeâ€™s Church, Hillmarton Road, London N7 9RE",'St Lukeâ€™s Church' not in approved neighborhoods list
3,5Rhythms Dance – We Dance with Nikki Ashley,Location,CRITICAL,location,"Chestnut Grove School, Balham","Chestnut Grove School, Balham",'Chestnut Grove School' not in approved neighborhoods list
4,Ace Cafe London,Location,CRITICAL,location,North West London,North West London,'North West London' not in approved neighborhoods list
6,After-Work Foraging Sessions â€“ Charlotte Gordon Urban Forager,Location,CRITICAL,location,"The Story Garden, Kingâ€™s Cross","The Story Garden, Kingâ€™s Cross",'The Story Garden' not in approved neighborhoods list
7,Akila Pole Studio,Location,CRITICAL,location,"Eurolink Business Centre, 49 Effra Road, Brixton SW2 1BZ","Eurolink Business Centre, 49 Effra Road, Brixton SW2 1BZ",'Eurolink Business Centre' not in approved neighborhoods list
9,Art Play London â€“ Paper-Making Craft Class,Location,CRITICAL,location,"3 Norton Folgate, Shoreditch (E1 6DB) or 224a Chelsea Manor Street (SW3 5UA)","3 Norton Folgate, Shoreditch (E1 6DB) or 224a Chelsea Manor Street (SW3 5UA)",'3 Norton Folgate' not in approved neighborhoods list
11,artsdepot,Location,CRITICAL,location,North Finchley,North Finchley,'North Finchley' not in approved neighborhoods list
11,artsdepot,Blurb,CRITICAL,blurb,...,Expand or condense to 50-120 words,Blurb is missing
11,artsdepot,Required Fields,CRITICAL,multiple,N/A,Add missing required fields,Missing: blurb
12,Asylum Chapel,Blurb,CRITICAL,blurb,...,Expand or condense to 50-120 words,Blurb is missing
12,Asylum Chapel,Required Fields,CRITICAL,multiple,N/A,Add missing required fields,Missing: blurb
13,Authentic Movement Workshops – Katsura Isobe,Location,CRITICAL,location,"Chisenhale Dance Space, East London",Chisenhale Dance Space,Contains borough/area format
13,Authentic Movement Workshops – Katsura Isobe,Location,CRITICAL,location,"Chisenhale Dance Space, East London","Chisenhale Dance Space, East London",'Chisenhale Dance Space' not in approved neighborhoods list
14,Autograph,Location,CRITICAL,location,Rivington Place,Rivington Place,'Rivington Place' not in approved neighborhoods list
14,Autograph,Blurb,CRITICAL,blurb,...,Expand or condense to 50-120 words,Blurb is missing
14,Autograph,Required Fields,CRITICAL,multiple,N/A,Add missing required fields,Missing: blurb
15,Bad Moon Café,Location,CRITICAL,location,Elephant & Castle,Elephant,Contains compound delimiter (& or /)
17,BAW Dance,Location,CRITICAL,location,Various central London venues (often near Bond Street and Farringdon),Various central London venues (often near Bond Street and Farringdon),'Various central London venues' not in approved neighborhoods list
20,Bill Murray,Blurb,CRITICAL,blurb,...,Expand or condense to 50-120 words,Blurb is missing
20,Bill Murray,Required Fields,CRITICAL,multiple,N/A,Add missing required fields,Missing: blurb
23,Body Love Sketch Club,Location,CRITICAL,location,"Music Room London, New Cross (South East London)","Music Room London, New Cross (South East London)",'Music Room London' not in approved neighborhoods list
24,Boneyard London â€“ Introduction to Blacksmithing,Location,CRITICAL,location,"Unit 10 3 Navigation Road, London N17 9RP (Tottenham Hale)","Unit 10 3 Navigation Road, London N17 9RP (Tottenham Hale)",'Unit 10 3 Navigation Road' not in approved neighborhoods list
25,BookBar,Location,CRITICAL,location,Highbury & Islington + Chelsea (multiple sites),Highbury,Contains compound delimiter (& or /)
25,BookBar,Location,CRITICAL,location,Highbury & Islington + Chelsea (multiple sites),Highbury & Islington + Chelsea (multiple sites),'Highbury & Islington + Chelsea' not in approved neighborhoods list
27,BrewDog Outpost Tower Hill â€“ Beer School,Location,CRITICAL,location,Tower Hill (EC3),Tower Hill (EC3),'Tower Hill' not in approved neighborhoods list
28,Brompton Bats â€“ Twilight Bat Survey Walk,Location,CRITICAL,location,"Brompton Cemetery (North Lodge Information Centre), Kensington","Brompton Cemetery (North Lodge Information Centre), Kensington",'Brompton Cemetery' not in approved neighborhoods list
